Item,Calories,Fats,Protein,Carbs,Sodium,Vegan,Vegetarian,Egg,Milk,Peanut,Treenut,Fish,ShellFish,Wheat,Soy
Supreme Lover's 14" Large Thin 'N Crispy®,250,10,13,25,520,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Supreme Lover's 12" Medium Stuffed Crust,310,14,20,25,600,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Supreme Lover's 14" Large Stuffed Crust,270,13,18,22,540,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Supreme Lover's 12" Medium Classic,260,11,14,25,470,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Supreme Lover's 14" Large Classic,230,10,13,21,430,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Supreme Lover's 12" Multigrain,280,10,15,29,470,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Canadian 6" Personal Pan Pizza®,650,28,29,72,930,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Canadian 9" Small Pan,210,9,10,22,310,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Canadian 12" Medium Pan,290,13,14,29,430,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Canadian 12" Medium Classic,270,12,13,27,400,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Canadian 12" Medium Thin 'N Crispy®,250,10,13,27,530,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Canadian 14" Large Thin 'N Crispy®,240,10,12,25,510,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Canadian 12" Medium Stuffed Crust,290,13,18,25,590,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Canadian 14" Large Stuffed Crust,260,12,16,21,520,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Canadian 12" Medium Classic,240,11,13,24,460,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Canadian 14" Large Classic,220,10,2,21,410,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Canadian 12" Multigrain,260,10,14,29,470,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Hawaiian 6" Personal Multigrain pizza,540,16,30,67,830,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Hawaiian 6" Personal Pan Pizza®,650,25,30,77,810,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Hawaiian 9" Small Pan,200,8,10,24,270,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Hawaiian 12" Medium Pan,280,11,14,31,380,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Hawaiian 12" Medium Classic,260,11,13,29,360,No,No,Yes,Yes,No,No,No,No,Yes,Yes
